"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","modo","gostou","id_cliente"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,144.814633320525,-6.47277846095385,67.8367848501332,0,247995,1966,"C",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,99.392073643976,-6.33480301809493,70.4845467235967,0,169245,2014,"b",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,109.194290059704,-10.1921166497794,66.9035269972799,0,204959,1964,"A",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,133.16577183498,-11.5969471155841,49.2019559496918,0,422762,1939,"C",TRUE,"#ID9155"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,122.081753069439,-6.18177861438888,81.739949080825,0,243848,2021,"c",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,134.431359952013,-7.9859377617309,63.7484878658911,0,240338,1976,"e",TRUE,"#ID9155"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,107.143393772884,-6.56694099493696,70.7004615469125,0,309395,2012,"a",FALSE,"#ID9155"
"Nenhuma",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,129.67402878044,-8.32868880606433,74.0113141129357,0,277402,2014,"A",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,70.6009116264346,-11.341478377044,73.7413011861867,0,168245,2021,"N/A",TRUE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,82.0324574588692,-5.74714625696725,62.3456068060742,0,221216,2021,"D",TRUE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,129.117022226359,-12.3672079859376,29.9589867466215,0,510048,1976,"f",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,124.616308597622,-7.86111413156801,78.8780378369747,0,381785,2003,"c#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107.361060409601,-7.27212482580527,69.7894549935201,0,177676,2019,"C",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,123.471036863738,-6.75035426324093,61.5026138727487,22.0353488602061,251195,2021,"a",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,110.029426120853,-7.92049986335442,71.1175489360846,0,253664,2019,"f",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,124.219047339291,-5.81351136223502,73.2331158714048,23.3969899645825,184020,2001,"N/A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,148.043533674907,-6.4148577961437,66.7072339512,0,132866,2021,"E",FALSE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,117.165290826396,-6.74507265462198,71.1791115470448,19.4090902159177,297451,2012,"D#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,112.729649991563,-6.79450355041975,58.2006866027531,0,158620,2020,"g",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,113.577100342902,-7.47024288854572,79.0331414611768,0,178083,2007,"F",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84.4524271862318,-6.97736086123571,61.9711766134051,0,193394,2015,"D#",TRUE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,116.156945323483,-9.7667726718133,40.7512745569364,0,203392,1919,"C#",FALSE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,116.005045544687,-6.24582945981173,73.605721119856,16.4795635469153,333413,2014,"c#",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98.7214958757904,-8.06097503875165,64.8861072554462,0,404153,1961,"C",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105.703113719887,-9.58933194128748,70.3354519790373,0,164942,2015,"N/A",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,82.1656195003014,-10.259859659445,70.1934254465231,0,194719,2020,"d#",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,107.12177694933,-8.5365606136811,65.5658038584675,22.182278598168,223571,2003,"F#",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,84.3347318135994,-16.4827268940279,81.0793057590089,0,175625,2019,"d",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,113.45949333121,-7.60870871984776,26.0055153810309,70.4615560741694,273895,2016,"A#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,123.759054762424,-11.0300249728921,34.6759453568042,0,228208,1959,"N/A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,137.978647554504,-6.69188958883551,59.4814862588851,0,148812,2020,"A",TRUE,"#ID9155"
"Nenhuma",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,78.7519379670237,-21.45777433231,0,0,96818,2008,"C#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,138.48331179943,-6.45284082335676,67.2466680494263,0,148355,2020,"g",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,84.7081959520158,-10.5364301360319,73.0225192736757,0,227526,2021,"F",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,121.611650833166,-5.61850624334132,81.8560252691177,25.4600409360064,226077,1987,"A#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104.566813891676,-5.5688135053234,69.6672655666375,0,141893,2016,"D",TRUE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,101.452213184887,-6.18350457138429,17.5535223275509,52.7464920013982,257864,1997,"d#",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,128.609739046023,-13.2091501654785,29.3226888969518,0,181134,1952,"N/A",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101.782457015978,-7.43381598245288,70.7336095673094,0,170342,2016,"G",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,122.318400824575,-7.56876717283656,75.7121196600209,0,228964,2004,"d",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129.979715970588,-10.4920326780781,73.6548388447375,0,425290,1993,"G#",TRUE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,111.328822016995,-3.87683530052424,21.4740025669658,46.7022808198156,266362,2014,"A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,117.144311018957,-8.27153295056491,74.3376853762982,0,152254,2012,"A#",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,160.45390082287,-7.32650577385408,62.4294722748745,0,192850,2020,"C",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,125.246421326926,-6.6204544936589,60.4956983035559,0,120178,2017,"a#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101.234022403205,-7.44076998448748,74.8146447479483,0,179856,2017,"G",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,96.2685109327881,-8.42896904085084,15.3645016148082,64.2949758489941,258271,2012,"c",TRUE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,136.213811230031,-8.50539777423396,72.3911385266477,0,161485,1994,"a",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,126.627758666347,-6.08417530256166,64.4842570859212,0,231992,2020,"G",FALSE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,106.470720421021,-6.94194729673979,54.3133139479186,0,205713,2018,"F#",FALSE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,129.33806880651,-6.286625299723,66.7071430550926,23.1780199701076,165133,2021,"A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,108.49540022567,-5.87851046497169,49.7367518659946,0,114066,2021,"C",TRUE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,126.425501548614,-7.41323821891032,69.9923581872636,0,252941,1976,"B",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,90.6386655137719,-11.3370708146129,77.6191238787677,0,230448,2019,"C#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99.0182261023833,-9.06191963462979,75.6021151689418,0,188828,2015,"F",TRUE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,105.64547882518,-6.46746215620844,19.6247336397847,68.5731733757434,216418,2009,"b",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,117.711069051667,-11.6970701604179,76.4438996482011,0,238473,1999,"d#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,122.38270443775,-6.85372748886974,85.023533863431,0,128512,1991,"a",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,147.321676943452,-5.97940061202753,62.2843183116996,0,139755,2017,"f#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,138.884737295679,-6.38317999670713,56.4520821751639,20.1598039018312,237361,2020,"d#",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,123.736646909868,-8.64018670790928,40.4254080613652,0,367601,1967,"A",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,86.0455510078595,-13.5726615873196,76.9885046821522,0,154681,2021,"E",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,100.936603330459,-6.14080318640879,18.6335539637728,75.52434857478,167594,2013,"A",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,134.979703530642,-9.46320034960587,72.1134422035696,0,150006,2015,"E",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,113.251167321975,-6.50751335254905,70.2482494062839,18.728184579225,280437,2008,"b",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,84.7932203579275,-6.24367144882012,25.9477748421276,79.5890395267088,244191,2002,"d#",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124.588409333721,-9.90860250878371,69.3587787325368,0,168653,2015,"E",TRUE,"#ID9155"
"Nenhuma",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,122.452486162444,-12.9554339487327,56.8895444213061,0,331988,1979,"N/A",TRUE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,176.112986466856,-9.01859553294123,70.46815915783,0,85104,1998,"a",TRUE,"#ID9155"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,67.2617115707792,-7.41341669369734,80.1668372911044,0,205143,2019,"G#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,104.834031260984,-7.96818693580398,28.0216477740344,58.2740970629718,245187,2007,"N/A",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,94.5959226420516,-7.04398025225475,76.9877181649654,0,125062,2019,"G",FALSE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,108.325340379088,-7.72613840545014,77.3525158427375,0,194410,2010,"c",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77.213449025204,-10.3953856760788,77.645665741995,0,174106,2014,"A#",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,100.941471445346,-7.48335059456837,21.3374828192756,82.4143433689448,228232,2004,"e",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100.630026067353,-5.71006819434997,67.3942273142195,0,180260,2020,"N/A",TRUE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,101.366505293865,-6.39048434133411,31.6919327620072,77.9003651227323,253816,2015,"b",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,125.937114301202,-7.4670457213407,77.6733848242902,0,219182,2004,"F",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,90.6029565028826,-14.3144373120661,71.1518773145123,0,238916,2020,"E",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,176.292568608786,-4.13569403196546,65.1160897481406,0,231734,2018,"D",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109.509633028555,-11.4377262114506,76.6683004400381,0,173630,1973,"e",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,91.9239223573316,-10.2794799910266,71.8927731645532,0,262300,2021,"C",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,108.694359241409,-12.4824218169257,76.2199930641713,0,194102,2000,"C",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,129.691157647812,-6.93182758144329,77.6576894741928,0,200459,1998,"A#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71.3789026227407,-7.77160990765588,74.3474563865592,0,178047,2017,"C",TRUE,"#ID9155"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,111.994425885259,-6.10282822239503,86.0200930761169,22.627195910992,162603,2000,"d",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116.512554224093,-7.8432244435004,76.6454400107046,0,159825,2013,"E",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83.9820282800091,-8.34848978604352,78.3154304326767,0,195507,2015,"N/A",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,90.7231510279843,-9.63955077779396,68.3879341114642,0,201283,2020,"f#",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.5794452819549,-7.83349195452257,76.3048252110481,0,233473,2021,"A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,133.32951240624,-6.99299260446821,49.6719958777978,0,192101,2019,"a",FALSE,"#ID9155"
